 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: São Paulo
Período:2020
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"354410 Rio Grande da Serra";0;0;0;0;0;1;1;1;0;0;0;0;3
"354420 Riolândia";0;0;0;0;0;0;1;1;0;1;0;0;3
"354490 Sales Oliveira";0;0;0;0;0;0;1;0;0;0;0;0;1
"354500 Salesópolis";0;0;0;0;0;0;1;0;0;0;0;0;1
"354520 Salto";0;0;0;0;0;4;1;4;2;1;1;0;13
"354540 Salto Grande";0;0;0;0;0;1;1;0;1;0;0;0;3
"354560 Santa Adélia";0;0;0;0;0;0;0;0;1;0;0;0;1
"354580 Santa Bárbara d'Oeste";0;0;0;0;0;4;7;4;4;1;0;0;20
"354630 Santa Cruz das Palmeiras";0;0;0;0;0;0;0;1;0;0;0;0;1
"354640 Santa Cruz do Rio Pardo";0;0;0;0;0;0;0;0;1;1;0;0;2
"354660 Santa Fé do Sul";0;0;0;0;0;2;0;2;0;0;0;0;4
"354680 Santa Isabel";0;0;0;0;1;0;0;0;0;0;0;0;1
"354730 Santana de Parnaíba";0;0;0;0;0;2;0;1;1;0;0;0;4
"354770 Santo Anastácio";0;0;0;0;0;0;0;1;0;0;0;0;1
"354780 Santo André";1;0;0;0;1;25;27;23;11;2;0;0;90
"354805 Santo Antônio do Aracanguá";0;0;0;0;0;0;0;1;0;0;0;0;1
"354830 Santo Expedito";0;0;0;0;0;0;1;0;1;0;0;0;2
"354850 Santos";0;1;0;0;0;16;25;16;13;8;1;1;81
"354870 São Bernardo do Campo";0;1;0;0;2;36;37;20;19;4;2;0;121
"354880 São Caetano do Sul";0;0;0;0;0;3;2;4;1;2;0;1;13
"354890 São Carlos";0;0;0;0;0;8;7;7;6;3;2;0;33
"354910 São João da Boa Vista";0;0;0;0;0;2;2;4;2;1;0;0;11
"354925 São João de Iracema";0;0;0;0;0;0;1;0;0;0;0;0;1
"354940 São Joaquim da Barra";0;0;0;0;0;0;1;0;0;1;0;0;2
"354970 São José do Rio Pardo";0;0;0;0;0;1;0;1;0;0;0;0;2
"354980 São José do Rio Preto";0;0;0;0;2;30;29;27;18;6;0;0;112
"354990 São José dos Campos";0;0;0;0;3;20;21;23;19;5;2;1;94
"354995 São Lourenço da Serra";0;0;0;0;0;0;0;0;1;0;0;0;1
"355030 São Paulo";4;5;1;2;58;710;677;408;256;74;13;7;2215
"355060 São Roque";0;0;0;0;0;3;1;2;3;0;1;0;10
"355070 São Sebastião";0;0;0;0;0;3;2;0;1;0;0;0;6
"355090 São Simão";0;0;0;0;0;0;1;0;0;0;0;0;1
"355100 São Vicente";1;0;0;0;3;9;15;12;5;2;1;0;48
"355110 Sarapuí";0;0;0;0;0;0;0;0;0;0;1;0;1
"355140 Serra Azul";0;0;0;0;0;0;1;1;0;0;0;0;2
"355160 Serra Negra";0;0;0;0;0;0;1;0;0;0;0;0;1
"355150 Serrana";0;0;0;0;0;1;0;1;0;0;0;0;2
"355170 Sertãozinho";0;0;0;0;0;2;3;0;4;1;0;0;10
"355180 Sete Barras";0;0;0;0;0;0;1;0;0;0;0;0;1
"355210 Socorro";0;0;0;0;0;0;1;1;1;0;0;0;3
"355220 Sorocaba";0;1;0;1;1;31;35;29;14;6;3;0;121
"355240 Sumaré";0;0;0;0;0;6;6;10;8;2;0;0;32
"355250 Suzano";0;0;0;0;2;6;9;4;4;4;1;0;30
"355270 Tabatinga";0;0;0;0;0;0;0;0;1;0;0;0;1
"355280 Taboão da Serra";0;0;0;0;1;4;7;9;3;0;0;0;24
"355330 Tambaú";0;0;0;0;0;1;0;0;0;0;0;0;1
"355340 Tanabi";0;0;0;0;0;0;0;0;1;0;0;0;1
"355370 Taquaritinga";0;0;0;0;0;1;0;1;1;0;0;0;3
"355395 Tarumã";0;0;0;0;0;1;0;0;0;0;0;0;1
"355400 Tatuí";0;0;0;0;0;1;7;5;3;0;0;0;16
"355410 Taubaté";0;0;0;0;1;9;12;7;6;2;0;0;37
"355430 Teodoro Sampaio";0;0;0;0;0;0;0;1;0;0;0;0;1
"355440 Terra Roxa";0;0;0;0;0;1;0;0;0;0;0;0;1
"355450 Tietê";0;0;0;0;0;0;1;0;0;0;0;0;1
"355480 Tremembé";0;0;0;0;0;2;1;0;1;1;0;0;5
"355500 Tupã";0;0;0;0;0;2;2;4;0;0;0;0;8
"355510 Tupi Paulista";0;0;0;0;0;1;2;1;0;0;0;0;4
"355540 Ubatuba";0;0;0;0;1;2;1;3;1;1;1;0;10
"355600 Urupês";0;0;0;0;0;0;1;0;0;0;0;0;1
"355610 Valentim Gentil";0;0;0;0;0;0;0;1;0;0;0;0;1
"355620 Valinhos";0;0;0;0;0;4;3;2;0;1;0;0;10
"355630 Valparaíso";0;0;0;0;0;0;0;1;1;0;0;0;2
"355640 Vargem Grande do Sul";0;0;0;0;0;0;0;1;1;0;0;0;2
"355645 Vargem Grande Paulista";0;0;0;0;0;0;1;0;2;0;0;0;3
"355650 Várzea Paulista";0;0;0;0;0;2;0;2;2;1;0;0;7
"355660 Vera Cruz";0;0;0;0;0;0;1;0;0;0;0;0;1
"355670 Vinhedo";0;0;0;0;0;3;1;4;2;0;0;0;10
"355700 Votorantim";0;0;0;0;0;2;3;0;0;0;0;0;5
"355710 Votuporanga";0;0;0;0;0;2;4;2;5;1;0;0;14
"350000 Município ignorado - SP";1;0;0;0;0;0;0;0;0;0;0;0;1
"Total";11;14;2;3;120;1605;1626;1208;779;263;65;18;5714
