 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"316860 Teófilo Otoni";0;0;0;1;0;9;9;9;12;0;0;0;40
"316870 Timóteo";0;0;0;0;0;2;1;3;1;0;0;1;8
"316890 Tiros";0;0;0;0;0;0;0;1;0;0;0;0;1
"316930 Três Corações";0;0;0;0;0;6;1;2;0;0;1;0;10
"316940 Três Pontas";0;0;0;0;0;2;4;0;0;1;0;0;7
"316990 Ubá";0;0;0;0;0;4;5;7;0;1;0;0;17
"317000 Ubaí";0;0;0;0;0;0;0;1;0;0;0;0;1
"317010 Uberaba";0;1;0;0;1;11;29;21;8;4;0;0;75
"317020 Uberlândia";0;0;0;0;2;32;51;43;18;7;1;0;154
"317040 Unaí";0;0;0;0;1;1;5;3;2;3;0;0;15
"317057 Vargem Alegre";0;0;0;0;0;0;1;0;0;0;0;0;1
"317070 Varginha";0;0;0;0;0;1;4;7;0;0;1;0;13
"317080 Várzea da Palma";0;0;0;0;0;0;0;0;0;0;1;0;1
"317100 Vazante";0;0;0;0;0;0;0;0;1;0;1;0;2
"317120 Vespasiano";0;0;0;0;0;8;4;5;2;3;0;1;23
"317130 Viçosa";0;0;0;0;0;0;3;2;0;0;0;0;5
"317200 Visconde do Rio Branco";0;0;0;0;0;1;1;1;0;0;0;0;3
"310000 Município ignorado - MG";0;0;0;0;0;0;0;1;1;0;0;0;2
"Total";2;1;2;2;29;531;698;556;289;169;41;6;2326
