 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2017
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"315570 Rio Piracicaba";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"315580 Rio Pomba";0;0;0;0;0;0;0;1;1;0;0;0;0;2
"315630 Rodeiro";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"315640 Romaria";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"315670 Sabará";0;0;0;0;0;6;10;4;6;2;0;0;0;28
"315690 Sacramento";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"315720 Santa Bárbara";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"315760 Santa Fé de Minas";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"315770 Santa Juliana";0;0;0;0;0;0;2;0;0;0;0;0;0;2
"315780 Santa Luzia";0;0;0;0;0;11;5;6;7;2;0;0;0;31
"315790 Santa Margarida";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"315935 Santa Rita de Minas";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"315960 Santa Rita do Sapucaí";0;0;0;0;0;1;0;2;0;1;0;0;0;4
"315830 Santana da Vargem";0;0;0;0;1;0;0;0;0;0;0;0;0;1
"315895 Santana do Paraíso";0;0;0;0;0;0;0;1;1;0;0;0;0;2
"315990 Santo Antônio do Amparo";0;0;0;0;0;1;0;0;1;1;0;0;0;3
"316040 Santo Antônio do Monte";0;0;0;0;0;0;0;0;1;0;0;1;0;2
"316070 Santos Dumont";0;0;0;0;0;1;2;0;1;0;0;0;0;4
"316100 São Domingos do Prata";0;0;0;0;0;0;2;0;0;0;0;0;0;2
"316105 São Félix de Minas";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"316110 São Francisco";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"316120 São Francisco de Paula";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"316150 São Geraldo";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"316180 São Gonçalo do Pará";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"316200 São Gonçalo do Sapucaí";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"316210 São Gotardo";0;0;0;0;0;1;2;0;1;1;0;0;0;5
"316230 São João da Mata";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"316250 São João del Rei";0;0;0;0;0;5;8;1;2;0;0;0;0;16
"316255 São João do Manhuaçu";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"316280 São João Evangelista";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"316290 São João Nepomuceno";0;0;0;0;0;1;0;1;0;0;1;0;0;3
"316292 São Joaquim de Bicas";0;0;0;0;0;0;1;0;0;1;0;0;0;2
"316294 São José da Barra";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"316295 São José da Lapa";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"316370 São Lourenço";0;0;0;0;0;0;3;2;0;0;0;0;0;5
"316420 São Romão";0;0;0;0;0;0;0;1;0;0;0;0;0;1
