regiao,uf,cod_ibge,municipio,ano_diagnostico,Branca,Preta,Amarela,Parda,Indígena,Ignorado,2023,analfabeto,1ª a 4ª série incompleta,4ª série completa,5ª a 8ª série incompleta,fundamental completo,médio incompleto,médio completo,superior incompleto,superior completo,nao_informado
NORDESTE,BA,355440.0,Terra Roxa,2021,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355450.0,Tietê,2021,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355480.0,Tremembé,2021,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355490.0,Três Fronteiras,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355500.0,Tupã,2021,7.0,1.0,0.0,8.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355510.0,Tupi Paulista,2021,5.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355540.0,Ubatuba,2021,11.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355620.0,Valinhos,2021,14.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355640.0,Vargem Grande do Sul,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355645.0,Vargem Grande Paulista,2021,2.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355650.0,Várzea Paulista,2021,2.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355660.0,Vera Cruz,2021,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,5.0
NORDESTE,BA,355670.0,Vinhedo,2021,6.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355680.0,Viradouro,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355700.0,Votorantim,2021,11.0,1.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355710.0,Votuporanga,2021,8.0,1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,,Ignorado,2021,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,5.0
NORDESTE,BA,410040.0,Almirante Tamandaré,2021,15.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410045.0,Altamira do Paraná,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410060.0,Alto Paraná,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410100.0,Ampére,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410140.0,Apucarana,2021,15.0,3.0,1.0,6.0,1.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410150.0,Arapongas,2021,12.0,2.0,2.0,3.0,0.0,1.0,,,,,,,,,,,0.0
NORDESTE,BA,410160.0,Arapoti,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410165.0,Arapuã,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410180.0,Araucária,2021,11.0,1.0,0.0,6.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410190.0,Assaí,2021,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410200.0,Assis Chateaubriand,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410210.0,Astorga,2021,3.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410240.0,Bandeirantes,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410260.0,Barracão,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410280.0,Bela Vista do Paraíso,2021,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410310.0,Bocaiúva do Sul,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410360.0,Cambará,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410370.0,Cambé,2021,5.0,1.0,1.0,7.0,1.0,1.0,,,,,,,,,,,0.0
NORDESTE,BA,410400.0,Campina Grande do Sul,2021,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410420.0,Campo Largo,2021,26.0,1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,410425.0,Campo Magro,2021,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
